antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06951219512195123,0.14146341463414633,0.06951219512195123,1.0,7.06896551724138,1.0,0.05967876264128495,inf,0.9226736566186108,0.4913793103448277,1.0,0.7456896551724138
"frozenset({'fatigue', 'chills', 'cough'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'fatigue', 'high_fever', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'chills', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06341463414634146,0.14146341463414633,0.06341463414634146,1.0,7.06896551724138,1.0,0.054443783462224865,inf,0.9166666666666667,0.4482758620689656,1.0,0.7241379310344828
"frozenset({'high_fever', 'chills', 'cough'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'fatigue', 'chills', 'phlegm'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'high_fever', 'malaise', 'chills', 'phlegm', 'fatigue', 'cough'})",frozenset({'chest_pain'}),0.054878048780487805,0.14146341463414633,0.054878048780487805,1.0,7.06896551724138,1.0,0.04711481261154075,inf,0.9083870967741936,0.3879310344827587,1.0,0.6939655172413793
"frozenset({'fatigue', 'phlegm', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'fatigue', 'high_fever', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06097560975609756,0.14146341463414633,0.06097560975609756,1.0,7.06896551724138,1.0,0.052349791790600834,inf,0.9142857142857144,0.4310344827586207,1.0,0.7155172413793104
"frozenset({'chills', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'high_fever', 'phlegm'})",frozenset({'chest_pain'}),0.06829268292682927,0.14146341463414633,0.06829268292682927,1.0,7.06896551724138,1.0,0.05863176680547294,inf,0.9214659685863876,0.48275862068965525,1.0,0.7413793103448276
